Country,Year,Catch
Canada,1925,22744.9
Canada,1926,28850.5
Canada,1927,17081.9
Canada,1928,29417.2
Canada,1929,18887.4
Canada,1930,34486.5
Canada,1931,16526.1
Canada,1932,15945.4
Canada,1933,18625.7
Canada,1934,21521.3
Canada,1935,22766.9
Canada,1936,27030.8
Canada,1937,22008.8
Canada,1938,22681.8
Canada,1939,20324.4
Canada,1940,17317.2
Canada,1941,23540.6
Canada,1942,21368.5
Canada,1943,16795.9
Canada,1944,14468.7
Canada,1945,23756.4
Canada,1946,15732.3
Canada,1947,25559.4
Canada,1948,18190.1
Canada,1949,20782
Canada,1950,22335
Canada,1951,27661.6
Canada,1952,22157
Canada,1953,25580
Canada,1954,21297
Canada,1955,19496
Canada,1956,17090
Canada,1957,20843
Canada,1958,26208
Canada,1959,15904
Canada,1960,11576
Canada,1961,18086
Canada,1962,32767
Canada,1963,19967
Canada,1964,20608
Canada,1965,14178
Canada,1966,29157
Canada,1967,21840
Canada,1968,35889
Canada,1969,11536
Canada,1970,25749
Canada,1971,22138
Canada,1972,28303
Canada,1973,25011
Canada,1974,21729
Canada,1975,11642
Canada,1976,22042
Canada,1977,22476
Canada,1978,25651
Canada,1979,23286
Canada,1980,19648
Canada,1981,31549
Canada,1982,20103
Canada,1983,35518
Canada,1984,19008
Canada,1985,41726
Canada,1986,39822
Canada,1987,25103
Canada,1988,37200
Canada,1989,36679
Canada,1990,39079
Canada,1991,40807
Canada,1992,26074
Canada,1993,34916
Canada,1994,21009
Canada,1995,20678
Canada,1996,14950.56583
Canada,1997,20669.36384
Canada,1998,9392.04982
Canada,1999,8067.12843
Canada,2000,8756.52305389554
Canada,2001,11357.1762566667
Canada,2002,12914.9667407422
Canada,2003,17259.0967702517
Canada,2004,9043.47952260877
Canada,2005,11888.759
Canada,2006,8164.946
Canada,2007,8805.216
Canada,2008,1692.118
Canada,2009,11163.32
Canada,2010,11459.721
Canada,2011,9731.477
Canada,2012,3012.937
Canada,2013,14527.17
Canada,2014,14836.65
Canada,2015,5434.591
Canada,2016,6848.284
Canada,2017,3824.174
Canada,2018,5337.843
Canada,2019,1174.439
Canada,2020,2448.127
Canada,2021,668.099
Canada,2022,2299.231
Canada,2023,2291.051
Japan,1925,47081.0764285554
Japan,1926,144547.481060861
Japan,1927,51722.1576282956
Japan,1928,141096.360213247
Japan,1929,69438.4930406335
Japan,1930,105031.051094237
Japan,1931,72958.4311762202
Japan,1932,90632.5529646305
Japan,1933,69745.8905539502
Japan,1934,152001.497524808
Japan,1935,160236.105951661
Japan,1936,143191.172053849
Japan,1937,197065.279147907
Japan,1938,177216.674237842
Japan,1939,251494.945500974
Japan,1940,95392.6799722241
Japan,1941,167305.854736465
Japan,1942,107805.914611473
Japan,1943,136657.672347468
Japan,1944,35552.016
Japan,1945,8200
Japan,1946,3300
Japan,1947,5700
Japan,1948,3400
Japan,1949,9800
Japan,1950,8500
Japan,1951,11100
Japan,1952,25612.6194241286
Japan,1953,26448
Japan,1954,42972
Japan,1955,102152
Japan,1956,97846.987151611
Japan,1957,123273
Japan,1958,114929.114317718
Japan,1959,114674.543783356
Japan,1960,85760.301838308
Japan,1961,90173.140541609
Japan,1962,68284
Japan,1963,97522.1208209202
Japan,1964,70662.8967010996
Japan,1965,99064
Japan,1966,78379.4065934066
Japan,1967,102200
Japan,1968,71049.8579088472
Japan,1969,97391.8274111675
Japan,1970,69370.3333333333
Japan,1971,79621
Japan,1972,63509
Japan,1973,76642
Japan,1974,68635
Japan,1975,87706
Japan,1976,64339
Japan,1977,62357
Japan,1978,47744
Japan,1979,60150
Japan,1980,56628.1
Japan,1981,66351
Japan,1982,59462
Japan,1983,68201
Japan,1984,64398
Japan,1985,79048
Japan,1986,61789
Japan,1987,60841
Japan,1988,60080
Japan,1989,66855
Japan,1990,74645
Japan,1991,74543
Japan,1992,55386
Japan,1993,76125
Japan,1994,78000
Japan,1995,84556
Japan,1996,101099
Japan,1997,80676
Japan,1998,70260
Japan,1999,58890
Japan,2000,59106
Japan,2001,67249
Japan,2002,67465
Japan,2003,83163
Japan,2004,78478
Japan,2005,75504
Japan,2006,70498
Japan,2007,80052
Japan,2008,58033
Japan,2009,70573
Japan,2010,54205
Japan,2011,46480.12
Japan,2012,43622.17
Japan,2013,52458.65
Japan,2014,43414.89
Japan,2015,42032.51
Japan,2016,38822.77
Japan,2017,21932.81
Japan,2018,35173.19
Japan,2019,18588.73
Japan,2020,21909.75
Japan,2021,19419.06
Japan,2022,32383.3
Japan,2023,20148.676
Russia,1925,20985.8255742979
Russia,1926,50779.1765168018
Russia,1927,26322.6483552829
Russia,1928,41653.3924480586
Russia,1929,27716.2715136208
Russia,1930,68594.5583193352
Russia,1931,56034.6606831439
Russia,1932,73246.6724772785
Russia,1933,40378.6531060196
Russia,1934,50952.1038605157
Russia,1935,59601.988333634
Russia,1936,30459.35060803
Russia,1937,18867.948351416
Russia,1938,37145.2482157004
Russia,1939,27216.2200991834
Russia,1940,51095.1996662837
Russia,1941,69426.1508155623
Russia,1942,67411.3828853905
Russia,1943,101089.795737244
Russia,1944,90643.0051093002
Russia,1945,73622.6518751617
Russia,1946,52153.6647411492
Russia,1947,112963.097432579
Russia,1948,56313.3325042634
Russia,1949,137541.483994183
Russia,1950,45329.8709955729
Russia,1951,131775.271378752
Russia,1952,56143.9231627903
Russia,1953,111353.641890208
Russia,1954,49918.9002595142
Russia,1955,81900.1355605196
Russia,1956,74017.5888161214
Russia,1957,85059.6548256696
Russia,1958,35299.2841160107
Russia,1959,45582.1967964369
Russia,1960,27327.166279338
Russia,1961,34987.1576793926
Russia,1962,22846
Russia,1963,37613
Russia,1964,18562
Russia,1965,45842
Russia,1966,24031
Russia,1967,40303
Russia,1968,16425
Russia,1969,45954
Russia,1970,17586
Russia,1971,51459.2773107813
Russia,1972,16751.4785409006
Russia,1973,74901.4202961962
Russia,1974,29205.3441937343
Russia,1975,92543.3576339119
Russia,1976,50945.9451713168
Russia,1977,107999.573535279
Russia,1978,56715.2724800408
Russia,1979,99885.4794000463
Russia,1980,74351.553921814
Russia,1981,79524.103
Russia,1982,46652.552
Russia,1983,107739.313
Russia,1984,60693.86
Russia,1985,98886.336
Russia,1986,40860.963
Russia,1987,92400.546
Russia,1988,42836.223
Russia,1989,129959.513
Russia,1990,72253.379
Russia,1991,178474.038
Russia,1992,76992.892
Russia,1993,104817.671
Russia,1994,125589
Russia,1995,129873.56
Russia,1996,102887.5
Russia,1997,156116.3
Russia,1998,182426.986334733
Russia,1999,175914.433968923
Russia,2000,133314.728722607
Russia,2001,147560.414875818
Russia,2002,96437.79802512
Russia,2003,149300.596652438
Russia,2004,88678.4305364228
Russia,2005,182959.810724983
Russia,2006,168624.921
Russia,2007,213230.19
Russia,2008,140926.369
Russia,2009,355150.852
Russia,2010,181482.86
Russia,2011,367770.1772
Russia,2012,287211.4212
Russia,2013,226573.494
Russia,2014,168552.622
Russia,2015,189766.86
Russia,2016,276974.868
Russia,2017,205716.522
Russia,2018,478732.311
Russia,2019,329167.388
Russia,2020,178673.2575
Russia,2021,393747.796991092
Russia,2022,154571.073625522
Russia,2023,471089.177339037
United States,1925,77688.8950778907
United States,1926,102360.376072569
United States,1927,60272.1760917688
United States,1928,93305.771308494
United States,1929,85035.7662144098
United States,1930,87690.3599795413
United States,1931,82251.7993151309
