pollster,sample_size,state,candidate_name,pct,start_date,end_date,pollscore,numeric_grade
Emerson,915,New Hampshire,Kamala Harris,50.9,10/21/24,10/23/24,-1.1,2.9
Emerson,915,New Hampshire,Donald Trump,47.2,10/21/24,10/23/24,-1.1,2.9
Washington Post/George Mason University,1004,Virginia,Kamala Harris,49,10/19/24,10/23/24,-0.8,2.7
Washington Post/George Mason University,1004,Virginia,Donald Trump,43,10/19/24,10/23/24,-0.8,2.7
Washington Post/George Mason University,1004,Virginia,Kamala Harris,48,10/19/24,10/23/24,-0.8,2.7
Washington Post/George Mason University,1004,Virginia,Donald Trump,42,10/19/24,10/23/24,-0.8,2.7
Emerson,860,Pennsylvania,Kamala Harris,49,10/21/24,10/22/24,-1.1,2.9
Emerson,860,Pennsylvania,Donald Trump,50.7,10/21/24,10/22/24,-1.1,2.9
Emerson,950,North Carolina,Kamala Harris,48.2,10/21/24,10/22/24,-1.1,2.9
Emerson,950,North Carolina,Donald Trump,50.2,10/21/24,10/22/24,-1.1,2.9
Emerson,800,Wisconsin,Kamala Harris,49.2,10/21/24,10/22/24,-1.1,2.9
Emerson,800,Wisconsin,Donald Trump,49.9,10/21/24,10/22/24,-1.1,2.9
Redfield & Wilton Strategies,710,Arizona,Kamala Harris,46,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,710,Arizona,Donald Trump,48,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,710,Arizona,Chase Oliver,1,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,710,Arizona,Jill Stein,1,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,1168,Georgia,Kamala Harris,47,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,1168,Georgia,Donald Trump,48,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,1168,Georgia,Chase Oliver,1,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,1168,Georgia,Jill Stein,0,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,1115,Michigan,Kamala Harris,47,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,1115,Michigan,Donald Trump,47,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,1115,Michigan,Chase Oliver,0,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,1115,Michigan,Jill Stein,1,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,540,Nevada,Kamala Harris,46,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,540,Nevada,Donald Trump,47,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,540,Nevada,Chase Oliver,0,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,540,Nevada,Jill Stein,0,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,679,North Carolina,Kamala Harris,47,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,679,North Carolina,Donald Trump,48,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,679,North Carolina,Chase Oliver,0,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,679,North Carolina,Jill Stein,1,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,1586,Pennsylvania,Kamala Harris,48,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,1586,Pennsylvania,Donald Trump,47,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,1586,Pennsylvania,Chase Oliver,1,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,1586,Pennsylvania,Jill Stein,0,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,557,Wisconsin,Kamala Harris,49,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,557,Wisconsin,Donald Trump,47,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,557,Wisconsin,Chase Oliver,1,10/20/24,10/22/24,0.4,1.8
Redfield & Wilton Strategies,557,Wisconsin,Jill Stein,0,10/20/24,10/22/24,0.4,1.8
Emerson,825,South Dakota,Kamala Harris,36.5,10/19/24,10/22/24,-1.1,2.9
Emerson,825,South Dakota,Donald Trump,62,10/19/24,10/22/24,-1.1,2.9
Marist,1356,Georgia,Kamala Harris,49,10/17/24,10/22/24,-0.9,2.9
Marist,1356,Georgia,Donald Trump,48,10/17/24,10/22/24,-0.9,2.9
Marist,1193,Georgia,Kamala Harris,49,10/17/24,10/22/24,-0.9,2.9
Marist,1193,Georgia,Donald Trump,49,10/17/24,10/22/24,-0.9,2.9
Marist,1410,North Carolina,Kamala Harris,48,10/17/24,10/22/24,-0.9,2.9
Marist,1410,North Carolina,Donald Trump,49,10/17/24,10/22/24,-0.9,2.9
Marist,1226,North Carolina,Kamala Harris,48,10/17/24,10/22/24,-0.9,2.9
Marist,1226,North Carolina,Donald Trump,50,10/17/24,10/22/24,-0.9,2.9
Marist,1329,Arizona,Kamala Harris,49,10/17/24,10/22/24,-0.9,2.9
Marist,1329,Arizona,Donald Trump,49,10/17/24,10/22/24,-0.9,2.9
Marist,1193,Arizona,Kamala Harris,49,10/17/24,10/22/24,-0.9,2.9
Marist,1193,Arizona,Donald Trump,50,10/17/24,10/22/24,-0.9,2.9
University of Maryland/Washington Post,1000,Maryland,Kamala Harris,61,10/17/24,10/22/24,-0.3,2.5
University of Maryland/Washington Post,1000,Maryland,Donald Trump,33,10/17/24,10/22/24,-0.3,2.5
Emerson,865,Maryland,Kamala Harris,64,10/19/24,10/21/24,-1.1,2.9
Emerson,865,Maryland,Donald Trump,34.4,10/19/24,10/21/24,-1.1,2.9
Emerson,815,Texas,Kamala Harris,45.9,10/18/24,10/21/24,-1.1,2.9
Emerson,815,Texas,Donald Trump,53.1,10/18/24,10/21/24,-1.1,2.9
Quinnipiac,1136,Michigan,Kamala Harris,49,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1136,Michigan,Donald Trump,46,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1136,Michigan,Jill Stein,1,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1136,Michigan,Chase Oliver,0,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1136,Michigan,Cornel West,1,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1136,Michigan,Randall A. Terry,0,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1136,Michigan,Kamala Harris,50,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1136,Michigan,Donald Trump,46,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1108,Wisconsin,Kamala Harris,48,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1108,Wisconsin,Donald Trump,48,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1108,Wisconsin,Jill Stein,0,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1108,Wisconsin,Chase Oliver,0,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1108,Wisconsin,Cornel West,0,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1108,Wisconsin,Randall A. Terry,0,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1108,Wisconsin,Claudia De La Cruz,0,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1108,Wisconsin,Kamala Harris,48,10/17/24,10/21/24,-0.5,2.8
Quinnipiac,1108,Wisconsin,Donald Trump,48,10/17/24,10/21/24,-0.5,2.8
Emerson,860,Florida,Kamala Harris,45.9,10/18/24,10/20/24,-1.1,2.9
Emerson,860,Florida,Donald Trump,53.6,10/18/24,10/20/24,-1.1,2.9
SurveyUSA/High Point University,1164,North Carolina,Kamala Harris,47,10/17/24,10/20/24,-1.3,2.8
SurveyUSA/High Point University,1164,North Carolina,Donald Trump,46,10/17/24,10/20/24,-1.3,2.8
Franklin and Marshall College,794,Pennsylvania,Kamala Harris,49,10/9/24,10/20/24,-0.1,2.4
Franklin and Marshall College,794,Pennsylvania,Donald Trump,45,10/9/24,10/20/24,-0.1,2.4
Franklin and Marshall College,794,Pennsylvania,Jill Stein,2,10/9/24,10/20/24,-0.1,2.4
Franklin and Marshall College,794,Pennsylvania,Chase Oliver,1,10/9/24,10/20/24,-0.1,2.4
Franklin and Marshall College,583,Pennsylvania,Kamala Harris,49,10/9/24,10/20/24,-0.1,2.4
Franklin and Marshall College,583,Pennsylvania,Donald Trump,50,10/9/24,10/20/24,-0.1,2.4
Franklin and Marshall College,794,Pennsylvania,Kamala Harris,48,10/9/24,10/20/24,-0.1,2.4
Franklin and Marshall College,794,Pennsylvania,Donald Trump,44,10/9/24,10/20/24,-0.1,2.4
Redfield & Wilton Strategies,691,Arizona,Kamala Harris,46,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,691,Arizona,Donald Trump,49,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,691,Arizona,Chase Oliver,1,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,691,Arizona,Jill Stein,1,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1275,Florida,Kamala Harris,45,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1275,Florida,Donald Trump,49,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1275,Florida,Chase Oliver,1,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1275,Florida,Jill Stein,0,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1008,Michigan,Kamala Harris,47,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1008,Michigan,Donald Trump,47,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1008,Michigan,Chase Oliver,1,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1008,Michigan,Jill Stein,0,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,529,Nevada,Kamala Harris,46,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,529,Nevada,Donald Trump,47,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,529,Nevada,Chase Oliver,1,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,529,Nevada,Jill Stein,1,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,622,Wisconsin,Kamala Harris,47,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,622,Wisconsin,Donald Trump,46,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,622,Wisconsin,Chase Oliver,1,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,622,Wisconsin,Jill Stein,0,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,843,North Carolina,Kamala Harris,45,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,843,North Carolina,Donald Trump,48,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,843,North Carolina,Chase Oliver,0,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,843,North Carolina,Jill Stein,1,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1019,Georgia,Kamala Harris,47,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1019,Georgia,Donald Trump,48,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1019,Georgia,Chase Oliver,1,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1019,Georgia,Jill Stein,1,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1256,Pennsylvania,Kamala Harris,48,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1256,Pennsylvania,Donald Trump,48,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1256,Pennsylvania,Chase Oliver,1,10/16/24,10/18/24,0.4,1.8
Redfield & Wilton Strategies,1256,Pennsylvania,Jill Stein,0,10/16/24,10/18/24,0.4,1.8
U. North Florida,977,Florida,Kamala Harris,43,10/7/24,10/18/24,-0.6,2.8
U. North Florida,977,Florida,Donald Trump,53,10/7/24,10/18/24,-0.6,2.8
Siena,872,New York,Kamala Harris,54,10/13/24,10/17/24,-0.8,2.7
Siena,872,New York,Donald Trump,37,10/13/24,10/17/24,-0.8,2.7
Siena,872,New York,Jill Stein,1,10/13/24,10/17/24,-0.8,2.7
Siena,872,New York,Chase Oliver,1,10/13/24,10/17/24,-0.8,2.7
Siena,872,New York,Cornel West,1,10/13/24,10/17/24,-0.8,2.7
Siena,872,New York,Kamala Harris,58,10/13/24,10/17/24,-0.8,2.7
Siena,872,New York,Donald Trump,39,10/13/24,10/17/24,-0.8,2.7
YouGov,1435,Arizona,Kamala Harris,48,10/11/24,10/16/24,-1.1,3
YouGov,1435,Arizona,Donald Trump,51,10/11/24,10/16/24,-1.1,3
U. Georgia SPIA,1000,Georgia,Kamala Harris,43.4,10/7/24,10/16/24,-0.2,2.2
U. Georgia SPIA,1000,Georgia,Donald Trump,47,10/7/24,10/16/24,-0.2,2.2
U. Georgia SPIA,1000,Georgia,Chase Oliver,0.4,10/7/24,10/16/24,-0.2,2.2
