Country,Species,Catch Type,2022
Canada,Total,Commercial,2299.2310000000002
Canada,Total,Sport,491.06400000000002
Canada,Total,Subsistence,1934.9860000000001
Japan,Total,Commercial,32383.3
Japan,Total,Commercial,649.63800000000003
Japan,Total,Commercial,6786.02
Japan,Total,Commercial,24354.04
Japan,Total,Commercial,314.83
Japan,Total,Commercial,278.77999999999997
Korea,Total,Commercial,53.19
Korea,Total,Commercial,41.04
Korea,Total,Commercial,8.34
Korea,Total,Commercial,0.51
Korea,Total,Commercial,0.51
Korea,Total,Commercial,0.25
Korea,Total,Commercial,2.54
Russia,Total,Commercial,154571.073625522
Russia,Total,Commercial,1126.9707267193101
Russia,Total,Commercial,36115.911090022397
Russia,Total,Commercial,23103.5112605266
Russia,Total,Commercial,31927.092860162498
Russia,Total,Commercial,20081.5792322745
Russia,Total,Commercial,39782.252451969398
Russia,Total,Commercial,1218.5987577639801
Russia,Total,Commercial,840.908702105423
Russia,Total,Commercial,374.24854397844501
Russia,Total,Sport,717.11576478128495
Russia,Total,Sport,2.1269999999999998
Russia,Total,Sport,70.072999999999993
Russia,Total,Sport,116.98399999999999
Russia,Total,Sport,103.71791468011099
Russia,Total,Sport,5.9635425791374299
Russia,Total,Sport,395.58613445378199
Russia,Total,Sport,22.664173068254499
Russia,Total,Subsistence,2533.02737156073
Russia,Total,Subsistence,32.0694222827779
Russia,Total,Subsistence,1094.8804404556299
Russia,Total,Subsistence,994.04827457696194
Russia,Total,Subsistence,194.69489386687499
Russia,Total,Subsistence,182.4
Russia,Total,Subsistence,31.580252100840301
Russia,Total,Subsistence,3.3540882776427599
United States,Total,Commercial,166114.19200000001
United States,Total,Subsistence,1159.6199999999999
United States,Total,Sport,2298.6979999999999
